booking_id,student_id,room_type,amenities,price_per_day,check_in_date,check_out_date,booking_date,stay_duration,lead_time,booking_status,season,day_of_week,is_academic_week
46685257-bdd6-40fb-8667-1ad11c80317f,bc8960a9-23b8-41e9-b924-56de3eb13b90,Group,"Wi-Fi, A/C",16963.5,2023-07-01,2023-07-09,2023-05-12,8,50,Cancelled,Vacation,Saturday,0
8b9d2434-e465-4150-bd9c-66b3ad3c2d6d,0822e8f3-6c03-4199-972a-846916419f82,Group,"Parking, Wi-Fi, A/C",19972.15,2022-04-08,2022-04-15,2022-03-21,7,18,Cancelled,Vacation,Friday,0
815ef6d1-3b8f-4a18-b7f8-a88b17fc695a,32e70629-8fad-41a6-86cb-0fb39a1de644,Group,"Tiled Floor, A/C",12891.49,2022-01-29,2022-02-24,2022-01-24,26,5,Cancelled,Semester,Saturday,1
6b65a6a4-8b81-48f6-b38a-088ca65ed389,47378190-96da-4dac-b2ff-5d2a386ecbe0,Single,"Wi-Fi, Attach Bathroom, Parking",22108.83,2023-09-01,2023-09-11,2023-07-11,10,52,Confirmed,Semester,Friday,1
ce4a2bbd-c241-430b-81a9-e71fde8a774b,571aa876-6c30-4511-b2b9-437a28df6ec4,Double,"Kitchen, Attach Bathroom, Tiled Floor, Wi-Fi",15569.72,2023-11-10,2023-11-23,2023-09-21,13,50,Cancelled,Vacation,Friday,0
c37459ee-f50b-4a63-b71e-cd7b27cd8130,6142ea7d-17be-4111-9a2a-73ed562b0f79,Single,"Attach Bathroom, Kitchen",27815.32,2022-09-13,2022-09-17,2022-08-04,4,40,Cancelled,Semester,Tuesday,1
9a8dca03-580d-4b71-98f5-64135be6128e,bacfb3d0-0b1f-4163-8e9f-f57f43b7a3a6,Double,"Wi-Fi, Parking, A/C, Tiled Floor",16914.6,2022-03-31,2022-04-10,2022-03-17,10,14,Cancelled,Vacation,Thursday,0
ec1b8ca1-f91e-4d4c-9ff4-9b7889463e85,4b0dbb41-8d52-48f1-942c-3fe860e7a113,Double,"Wi-Fi, A/C, Kitchen, Tiled Floor",24008.9,2023-01-12,2023-02-04,2022-12-23,23,20,Confirmed,Semester,Thursday,1
dc98d2c1-e2ac-472f-9e57-4f7aa0ee89ae,b45ed1f0-3139-432c-93cd-59bf5c941cf0,Double,"Wi-Fi, A/C, Tiled Floor, Parking",19154.47,2023-10-18,2023-10-22,2023-10-07,4,11,Confirmed,Vacation,Wednesday,1
c5e7ce8a-3a57-4a8e-a948-8d990bbb2599,daf61a26-146d-4f31-bc37-7a4c4a15544d,Single,"A/C, Parking, Tiled Floor",28886.14,2022-03-21,2022-04-17,2022-02-24,27,25,Cancelled,Vacation,Monday,0
47294739-614f-43d7-99db-3ad0ddd1dfb2,5d65a441-d588-42de-a2bc-372f7412b293,Group,"Attach Bathroom, Parking, A/C, Kitchen",10114.26,2022-08-08,2022-08-24,2022-06-30,16,39,Cancelled,Vacation,Monday,0
ab9099a4-35a2-40ae-9af3-05535ec42e08,aefcfad8-efc8-4849-b3aa-7efe4458a885,Double,"Attach Bathroom, Kitchen, Tiled Floor, A/C",16145.19,2022-06-06,2022-06-26,2022-05-07,20,30,Confirmed,Vacation,Monday,1
2bcfbe01-a28d-4fe3-9bf0-027312476f57,29d4beef-3eab-4dcb-baa8-0dd488bd6407,Single,"Parking, Kitchen, Tiled Floor",25053.46,2023-07-16,2023-08-08,2023-05-19,23,58,Confirmed,Vacation,Sunday,0
ece66fa2-fd51-46e6-851b-4cf36123fdf7,3838b326-8e94-4239-b02b-61c4a3d70628,Double,"Tiled Floor, A/C, Wi-Fi",24444.8,2023-02-17,2023-02-25,2022-12-26,8,53,Confirmed,Vacation,Friday,1
c6a7ee39-c4b0-42cc-97c5-24a55304317f,0837b8a3-d261-47ab-baa2-e4f90e51f30d,Group,"Tiled Floor, Attach Bathroom",17734.27,2023-06-28,2023-07-15,2023-06-16,17,12,Confirmed,Vacation,Wednesday,1
10f1bc81-448a-4a9e-a6b2-bc5b50c187fc,9132b63e-f162-47e4-a9c3-49e03602f8ac,Double,"Wi-Fi, Kitchen, Attach Bathroom, Tiled Floor",16785.39,2023-10-23,2023-10-26,2023-09-18,3,35,Cancelled,Vacation,Monday,1
a7cad415-366e-416f-908e-bad7b7c93acf,ea1fca65-e27a-484d-a548-21d07fcd9eb1,Double,"Tiled Floor, Kitchen",18011.05,2023-12-11,2023-12-20,2023-11-12,9,29,Cancelled,Vacation,Monday,0
23bed01d-43cf-4fde-a493-3b83757750a9,89fa6a68-8fb5-427b-beb7-99193f22faf8,Single,"Wi-Fi, Kitchen, Tiled Floor, Parking",21729.94,2023-07-12,2023-07-28,2023-05-15,16,58,Confirmed,Vacation,Wednesday,0
e5d7b875-6dad-46c7-95a7-6d79bf3c4c06,382567b8-5cab-4c97-a63f-1c97956269f0,Group,"Wi-Fi, Tiled Floor",15839.91,2022-09-01,2022-09-16,2022-07-24,15,39,Cancelled,Semester,Thursday,1
c17af08a-1745-46d8-be57-0ddf827050a8,27209bdf-1c11-4735-9c71-3d960c0fd195,Group,"Tiled Floor, Kitchen, A/C",19528.25,2022-05-16,2022-05-29,2022-04-18,13,28,Cancelled,Semester,Monday,1
6c12ace8-ae34-4454-8ac5-b68c28f49481,61b1cd22-6280-4c45-9043-5a1098ae4334,Double,"Parking, Wi-Fi",21575.36,2023-06-13,2023-06-17,2023-05-03,4,41,Confirmed,Vacation,Tuesday,1
405cacec-8774-49a9-b7d2-1e02ff01cf99,f143262f-dc5c-4eed-8da0-365bf89897b9,Single,"Attach Bathroom, Kitchen",21121.65,2023-05-03,2023-05-14,2023-04-08,11,25,Confirmed,Semester,Wednesday,1
ae849217-1d53-434b-b881-39b9ae270da7,444ea7c8-c039-4710-8976-e334e2817efd,Single,"A/C, Kitchen",28875.17,2022-02-17,2022-03-01,2022-01-09,12,39,Cancelled,Vacation,Thursday,1
4b22d308-1c8e-4ee9-9715-bd6fa4161293,00d4af59-7427-4ca3-a87d-06ca6f4cc69a,Double,"A/C, Tiled Floor",15183.82,2023-09-29,2023-10-10,2023-08-20,11,40,Confirmed,Semester,Friday,1
f8cda88b-436d-46e2-b83c-fe0be037e5ed,81f76d1c-2dbc-4134-830f-f46e8026695f,Double,"A/C, Tiled Floor",21358.76,2023-08-19,2023-08-23,2023-07-15,4,35,Cancelled,Vacation,Saturday,0
4c66e0a8-a013-4c6e-9eda-4e161b3dbd5c,9be578c7-81f6-41d4-a392-31a7d777a477,Single,"Tiled Floor, Parking",26206.64,2024-01-26,2024-02-21,2023-12-10,26,47,Cancelled,Semester,Friday,1
295b4715-c333-4861-9fb8-d16c2720797d,ec24a3c5-c754-408f-b418-8f3f8a14be62,Group,"Attach Bathroom, Tiled Floor, Kitchen",10056.38,2022-07-27,2022-08-11,2022-06-04,15,53,Confirmed,Vacation,Wednesday,0
52fbe43b-9954-4eb4-8025-7ad1eb2263dd,edd96831-1ca3-4cfb-84fc-6d827d154385,Double,"Tiled Floor, Attach Bathroom, Kitchen, Wi-Fi",21632.3,2023-03-06,2023-03-20,2023-02-16,14,18,Confirmed,Vacation,Monday,0
ce88cb2d-d4e8-4839-bc3e-058be0f3eab0,3da9c2a9-0ed4-4f1a-bd4c-bf374eb93eff,Group,"Parking, Wi-Fi, A/C, Kitchen",11893.52,2022-10-31,2022-11-19,2022-10-09,19,22,Confirmed,Vacation,Monday,1
15ed6269-1429-4c07-b26b-4776913e4de2,11b7e948-d0e6-4660-bc69-dee1bb5e4bcf,Double,"A/C, Parking",17412.12,2023-12-18,2023-12-27,2023-11-13,9,35,Cancelled,Vacation,Monday,0
20de435d-2031-4750-840d-b9b4885f6e66,8cbfedb0-f264-4ccc-b9ac-1b1ea8e56e0c,Group,"Tiled Floor, A/C",11709.05,2023-09-27,2023-10-22,2023-08-14,25,44,Confirmed,Semester,Wednesday,1
9b49bd26-df57-459a-8715-a10343dac043,edcd465e-3638-4821-b6e0-7cc06c52c49f,Double,"A/C, Parking, Tiled Floor, Wi-Fi",18939.53,2022-06-20,2022-06-25,2022-05-09,5,42,Confirmed,Vacation,Monday,1
337ea2df-b09b-4a5c-badc-c32ac1590f53,fec21bbe-6624-4bfa-8fcc-a39ab683d2e6,Group,"Tiled Floor, Kitchen, Wi-Fi",18138.52,2023-03-06,2023-03-10,2023-02-23,4,11,Confirmed,Vacation,Monday,0
e64d1bcb-7027-43a1-9f98-7c71a65e688e,3f76be1d-1efa-4197-b394-988f847fd9b4,Double,"Kitchen, Tiled Floor, A/C, Attach Bathroom",23361.1,2023-07-24,2023-08-04,2023-06-06,11,48,Cancelled,Vacation,Monday,0
969b6662-0562-4059-968c-c69b1064005c,38602ab6-96a4-42f2-bae8-cc938dcdcd03,Group,"Attach Bathroom, A/C",15923.82,2022-07-17,2022-08-05,2022-06-24,19,23,Confirmed,Vacation,Sunday,0
0f1259e0-a18f-46b6-b535-106e122c9a56,080aadfb-e7c9-4b26-9141-25c63a9bedd4,Single,"Wi-Fi, Tiled Floor",26776.16,2022-02-12,2022-02-27,2022-01-06,15,37,Cancelled,Vacation,Saturday,1
3ceddf2d-839f-4c50-9223-b5135496f63c,36d8393a-7c44-4fe7-ab42-20a7474a493b,Single,"Parking, Kitchen, A/C, Attach Bathroom",25043.54,2023-12-03,2023-12-27,2023-10-30,24,34,Cancelled,Vacation,Sunday,0
e1e3db63-ef7d-4c76-b92d-a22b21df306f,3e351128-7900-47f9-9382-9b43922fe15a,Group,"Wi-Fi, Kitchen",17663.79,2023-04-05,2023-04-23,2023-02-23,18,41,Cancelled,Vacation,Wednesday,0
30beb45f-6835-44f2-8eb8-1f9d7914c120,6e595ed3-a8b3-47fa-98d0-752b1825bc54,Double,"Tiled Floor, Parking, Wi-Fi, Attach Bathroom",23307.94,2023-10-05,2023-10-24,2023-09-02,19,33,Confirmed,Vacation,Thursday,1
dd2467ac-778e-4db3-a93d-ffbc6c6fa611,a748dbcf-ac61-4e63-8dde-29a6baa4b71a,Group,"A/C, Kitchen, Parking, Tiled Floor",14966.65,2022-11-06,2022-11-26,2022-10-03,20,34,Cancelled,Vacation,Sunday,0
ba6c34ab-6712-403a-8f84-4fef1931e9ee,1bf90e27-dc96-425e-8cf3-a17156dc8907,Double,"A/C, Kitchen, Tiled Floor",19881.45,2023-06-01,2023-06-29,2023-05-17,28,15,Cancelled,Vacation,Thursday,1
72d8567d-894a-45e4-b0b1-87ef310c0c00,474ebc19-2ef9-4276-ac00-6f6123e2fcb4,Double,"Tiled Floor, Parking, A/C, Wi-Fi",20337.48,2022-08-26,2022-09-14,2022-07-13,19,44,Confirmed,Vacation,Friday,0
134c6c92-ec5b-427c-9fde-4fbf3ff350bf,db20a56e-dc81-4fe7-8eda-8bbb71710434,Single,"Parking, Attach Bathroom",21337.94,2023-01-05,2023-01-25,2022-12-26,20,10,Cancelled,Semester,Thursday,1
ffd0f9d5-a6f2-47b8-8cf3-5b5819108be5,f8102383-03c7-4ba8-9605-e7708a63f881,Single,"Kitchen, A/C, Tiled Floor, Parking",23678.23,2023-03-07,2023-03-28,2023-03-04,21,3,Cancelled,Vacation,Tuesday,0
